SMD,votes_2022
1A01,37.077217613273774
1A02,31.463273568536728
1A03,31.356620633631195
1A04,41.040462427745666
1A05,36.66947014297729
1A06,41.8481459682166
1A07,42.48366013071895
1A08,31.69889502762431
1A09,33.66834170854271
1A10,39.229843561973524
1B01,38.637519064565325
1B02,43.47069065583285
1B03,36.60665575559192
1B04,48.2886216466235
1B05,44.32098765432099
1B06,35.27588344699318
1B07,42.669993761696816
1B08,42.53773057574064
1B09,42.150661299597466
1C01,45.99260172626387
1C02,48.53658536585366
1C03,46.83323649041255
1C04,48.49884526558891
1C05,48.84012539184953
1C06,44.40753045404208
1C07,42.588866532528506
1C08,46.1361014994233
1C09,41.12149532710281
1D01,49.93946731234867
1D02,29.852125693160815
1D03,49.896049896049895
1D04,40.313653136531364
1D05,52.11450878334418
1D06,43.01007556675063
1D07,32.159624413145536
1E01,42.429577464788736
1E02,35.51077136900626
1E03,40.06079027355623
1E04,35.19163763066202
1E05,27.995642701525053
1E06,31.10720562390158
1E07,25.846153846153847
2A01,25.324675324675326
2A02,40.6099518459069
2A03,39.22859830667921
2A04,39.923469387755105
2A05,34.62214411247803
2A06,40.88307440719542
2A07,20.61855670103093
2A08,25.65597667638484
2A09,25.918367346938776
2B01,41.64733178654292
2B02,42.51748251748252
2B03,49.170918367346935
2B04,45.09421702404158
2B05,44.888888888888886
2B06,40.833333333333336
2B07,47.87456445993031
2B08,45.933014354066984
2B09,50.24067388688327
2C01,24.295377677564826
2C02,37.007168458781365
2C03,44.82484076433121
2C04,39.61538461538461
2D01,50.635208711433755
2D02,49.41069809610154
2E01,38.53281853281853
2E02,41.35407136322049
2E03,36.693548387096776
2E04,60.0
2E05,35.45816733067729
2E06,47.12950600801068
2E07,46.363061353573684
2E08,26.940639269406393
2F01,44.73039215686274
2F02,46.37122671804753
2F03,46.27808988764045
2F04,39.4646533973919
2F05,35.617673579801625
2F06,38.8124547429399
2F07,40.62262718299165
2F08,41.17193523515806
2G01,39.46830265848671
2G02,38.37078651685393
2G03,39.12568306010929
2G04,41.66059723233795
2G05,34.791666666666664
2G06,41.64870689655172
3/4G01,57.26240286909743
3/4G02,64.7940074906367
3/4G03,61.73861620342992
3/4G04,57.20390720390721
3/4G05,58.06253832004905
3/4G06,52.66990291262136
3/4G07,49.445983379501385
3A01,44.02628434886499
3A02,44.29577464788732
3A03,46.847507331378296
3A04,48.731501057082454
3A05,48.768115942028984
3B01,37.58439609902476
3B02,43.978349120433016
3B03,38.40190816935003
3B04,61.13002042205582
3B05,45.02018842530283
3B06,50.89974293059126
3C01,48.583484026522
3C02,47.23997675769901
3C03,49.85867721876767
3C04,55.76581904198699
3C05,57.34513274336283
3C06,49.49614700652045
3C07,58.161865569272976
3C08,55.02832861189802
3D01,52.534900808229246
3D02,50.0
3D03,52.720588235294116
3D04,55.15818431911967
3D05,51.41242937853107
3D06,42.45152354570637
3D07,46.872700515084624
3E01,58.90718562874252
3E02,60.98939929328622
3E03,52.97060662914321
3E04,54.24791086350975
3E05,62.66205704407952
3E06,62.48196248196248
3E07,33.333333333333336
3E08,35.294117647058826
3F01,59.86601705237515
3F02,47.20176730486009
3F03,55.23809523809524
3F04,43.7731196054254
3F05,44.55375966268447
3F06,57.5187969924812
4A01,63.74790853318461
4A02,59.83935742971887
4A03,45.14991181657848
4A04,41.58878504672897
4A05,34.82671174978867
4A06,23.41628959276018
4A07,34.13516609392898
4B01,45.10978043912176
4B02,44.29530201342282
4B03,47.841306884480744
4B04,43.89671361502347
4B05,43.58084663428175
4B06,50.264550264550266
4B07,51.375
4B08,41.45527369826435
4B09,43.991179713340685
4B10,46.116207951070336
4C01,37.0721048798252
4C02,40.141297366730896
4C03,42.706502636203865
4C04,40.028591851322375
4C05,44.24890006285355
4C06,45.4990814451929
4C07,46.24553039332539
4D01,32.17259651778955
4D02,37.35676088617265
4D03,33.251028806584365
4D04,38.93129770992366
4D05,34.66232709519935
4D06,41.86968838526912
4D07,43.88922335942203
4D08,41.02564102564103
4E01,36.40098603122432
4E02,44.6124763705104
4E03,45.294515910629656
4E04,41.579914268218005
4E05,43.03621169916435
4E06,57.423454650491045
5A01,47.74665042630938
5A02,48.06598407281001
5A03,48.71641791044776
5A04,20.454545454545453
5A05,30.095036958817317
5A06,37.631792376317925
